Province,Date,Goodsproducingsector,Agriculture,Forestryfishingminingquarryinoilgas,Utilities,Construction,Manufacturing,Servicesproducingsector ,Wholesaleretailtrade,Transportwarehousing,Financeinsurancerealestaterentalleasing,scientifictechnical,Businessbuildingsupportservices ,Educationalservices,Healthsocialassistance,Infoculturerec,Accommodationfoodservices,Otherservices,Publicadministration,Totalemployed
Newfoundland and Labrador,Jan-20,43.9,1.6,12.2,2.4,18.5,9.4,178.6,35.3,11.4,6.1,9.2,7.2,17.4,38.3,6.4,17.3,12,18.1,222.5
Newfoundland and Labrador,Feb-20,44.6,1.6,13.6,2.5,17.9,9,178.7,36,11.3,6.8,9.1,7.1,16.9,38.4,6.3,17.8,11.9,17.1,223.2
Newfoundland and Labrador,Mar-20,44.3,1.6,13.1,2.5,18.2,9,173.1,34,11.7,7,9.3,7.2,16.6,38.5,5.4,15.4,11.6,16.4,217.4
Newfoundland and Labrador,Apr-20,33.8,1.8,9,2.4,14.1,6.5,154.4,28.9,9.1,5.9,8.8,6.7,16.3,37.1,5,12.6,8.7,15.3,188.2
Newfoundland and Labrador,May-20,35.2,0.7,12.8,2.4,11.5,7.8,163.1,31.8,10,6.5,9.1,6.3,16.9,37.5,5.2,13.3,9.5,17,198.2
Newfoundland and Labrador,Jun-20,37.2,1.7,12.2,2.6,12.1,8.6,167,34,9.1,7,9.6,6.9,15.8,37,5.2,14.8,10.7,17,204.2
Newfoundland and Labrador,Jul-20,37.4,1.2,12.8,2.6,13.2,7.6,171.1,32,10.5,8,9.5,7.1,15.3,38.6,6.7,14.8,10.8,17.8,208.5
Newfoundland and Labrador,Aug-20,37.1,0.9,13.5,2.7,11.9,8,175.5,32.9,10,7.4,9.7,7.4,16.3,40.7,6.5,14.8,11.7,17.9,212.5
Newfoundland and Labrador,Sep-20,39.9,0.9,12,2.9,14,10.1,176.3,34.1,9.8,7.9,9.8,5.7,17.4,41.9,6.4,15.1,10.5,17.8,216.2
Newfoundland and Labrador,Oct-20,41.1,1,11.8,3,15.9,9.5,180.9,36.6,10.3,8.1,9.8,5.8,17.3,42.9,5.9,15.4,10.4,18.4,222.1
Newfoundland and Labrador,Nov-20,43.3,0.9,12.6,2.9,17.4,9.4,181.1,34.5,10.4,7.9,9.8,5.9,17.9,42.3,7.2,16.1,10,19.2,224.4
Prince Edward Island,Jan-20,20.1,4.6,1.9,0.2,7.3,6.1,60.3,11.5,2.8,3.1,4.2,2.2,5.7,11.4,2.3,5.9,3.6,7.7,80.3
Prince Edward Island,Feb-20,20,4.6,1.7,0.2,7.3,6.2,60.6,11.5,2.9,3.1,4.1,2.2,5.5,11.6,2.4,6,3.5,7.9,80.6
Prince Edward Island,Mar-20,19.9,4.7,1.9,0.2,6.9,6.2,58.6,11.4,2.7,3,4.4,2.4,5.5,11.2,1.8,4.5,3.5,8.1,78.5
Prince Edward Island,Apr-20,17.6,3.9,1.7,0.2,5.9,6,51.6,9.2,2.5,2.7,4,2.2,5.2,10,2,2.5,3.3,7.9,69.3
Prince Edward Island,May-20,18.1,4,2.2,0.3,6.8,4.8,53.8,10.4,2.7,2.6,4,2.3,5.5,10.7,1.9,2.5,3.4,7.9,71.9
Prince Edward Island,Jun-20,19.1,4.3,2.1,0.3,7,5.5,54.4,10.9,2.8,2.8,4.1,1.7,5.4,10.6,1.8,3,3.2,8,73.6
Prince Edward Island,Jul-20,19.1,3.9,1.8,0.3,6.7,6.4,55.7,10.5,2.5,3,4.4,1.4,5.5,11.3,2.2,3.3,3.5,8.1,74.7
Prince Edward Island,Aug-20,19.6,3.9,2.2,0.3,6.6,6.5,56.7,10.9,2.6,3.1,4.7,1.7,5.6,11.2,1.7,3.8,3.3,8.1,76.3
Prince Edward Island,Sep-20,19.4,3.6,2.1,0.2,6.5,6.9,56.1,10,2.7,2.9,4.3,2,5.7,10.6,1.9,4.4,3.1,8.5,75.5
Prince Edward Island,Oct-20,19.1,3.7,2.3,0.2,6.1,6.8,57.3,9.5,2.9,3.1,4.5,2.7,5.5,10.3,2.2,5.2,2.9,8.6,76.4
Prince Edward Island,Nov-20,19.4,3.6,2.4,0.2,6.3,6.8,58.1,10.2,2.7,3.1,4.3,2.9,5.7,11.2,2.1,5.3,2.4,8.3,77.4
Nova Scotia,Jan-20,88.9,5.5,10.1,3.5,35.6,34.2,378.4,79.9,19.1,22.9,27.7,19.3,35.7,72.3,17.3,38.4,16.6,29.2,467.3
Nova Scotia,Feb-20,89.5,5.9,10.2,3.7,34.6,35,381.5,79,19.9,22.6,28.6,19,35.6,73.9,19.1,38.3,16,29.7,471
Nova Scotia,Mar-20,87.8,5.4,10.3,3.7,34.1,34.3,358.3,70.8,20,23.1,28.7,17,33.6,73.7,17,29.4,15.4,29.4,446.2
Nova Scotia,Apr-20,78.3,5.5,10.4,3.5,29.4,29.6,317.2,57.5,18,22.7,28.1,16.6,33.3,68.6,12,18.1,12.2,30.3,395.6
